,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
193,1338064,,True,Oostelijk Havengebied - Indische Buurt,52.35938,4.93618,Private room,2,1,1,1,64.0,5,9,True,0,0,4.529999999999999,True,32.0,320.0,0.07,0.12,0.17,2.99,0.0,320.0
194,1338633,0.38,True,Oud-Noord,52.39319,4.9435,Private room,1,1,1,5,59.0,4,5,True,1,1,4.19,True,59.0,236.0,0.06,0.14,0.16,2.99,0.2876712328767123,295.0
195,1354077,0.0,True,Centrum-Oost,52.37141,4.90353,Entire home/apt,4,2,2,5,135.0,3,1125,True,0,0,4.43,True,33.75,405.0,0.07,0.15,0.2,4.99,0.0,675.0
196,1364013,0.27,True,De Baarsjes - Oud-West,52.36055,4.8532,Entire home/apt,4,2,4,5,111.0,4,23,True,14,0,4.7,True,27.75,444.0,0.05,0.16,0.19,4.99,0.4547945205479452,591.986301369863
197,1366058,0.56,True,Oud-Noord,52.38295,4.9152,Entire home/apt,4,2,2,9,159.0,5,29,True,0,0,4.83,True,39.75,795.0,0.08,0.12,0.19,4.99,0.0,792.7397260273973
198,1375601,0.67,True,De Baarsjes - Oud-West,52.36104,4.85778,Private room,2,1,1,6,187.0,3,365,True,5,2,5.0,True,93.5,561.0,0.08,0.24,0.23,4.99,0.09917355371900827,933.6914600550964
199,1377662,,True,Bos en Lommer,52.37704,4.84606,Private room,1,1,1,1,74.0,3,7,True,0,0,4.2700000000000005,True,74.0,222.0,0.04,0.11,0.14,2.99,0.0,367.8493150684931
200,1383369,0.68,True,Westerpark,52.38069,4.86826,Entire home/apt,3,2,1,1,100.0,4,500,True,5,2,4.75,True,33.33,400.0,0.08,0.16,0.17,4.99,0.0136986301369863,510.958904109589
201,1383494,0.29,True,Oostelijk Havengebied - Indische Buurt,52.36482231096632,4.9332502266687,Entire home/apt,2,1,1,8,60.0,30,31,True,0,0,4.71,True,30.0,1800.0,0.05,0.11,0.16,2.99,0.4246575342465753,443.3013698630137
202,1394668,0.9,True,De Baarsjes - Oud-West,52.37154,4.852,Private room,2,1,2,5,88.0,3,7,True,0,5,4.9,True,44.0,264.0,0.06,0.11,0.15,4.99,0.0,439.24657534246575
